9162,München,kreisfreie Stadt,1512491
9163,Rosenheim,kreisfreie Stadt,64403
9171,Altötting,Landkreis,113798
9172,Berchtesgadener Land,Landkreis,107667
9173,Bad Tölz-Wolfratshausen,Landkreis,129511
9174,Dachau,Landkreis,156982
9175,Ebersberg,Landkreis,146830
9176,Eichstätt,Landkreis,135591
9177,Erding,Landkreis,141680
9178,Freising,Landkreis,184433
9179,Fürstenfeldbruck,Landkreis,221612
9180,Garmisch-Partenkirchen,Landkreis,88840
9181,Landsberg am Lech,Landkreis,123032
9182,Miesbach,Landkreis,101346
9183,Mühldorf a.Inn,Landkreis,119878
9184,München,Landkreis,355890
9185,Neuburg-Schrobenhausen,Landkreis,99957
9186,Pfaffenhofen a.d.Ilm,Landkreis,132082
9187,Rosenheim,Landkreis,266945
9188,Starnberg,Landkreis,138785
9189,Traunstein,Landkreis,180779
9190,Weilheim-Schongau,Landkreis,138208
92,Niederbayern,Regierungsbezirk,1273955
9261,Landshut,kreisfreie Stadt,75457
9262,Passau,kreisfreie Stadt,53907
9263,Straubing,kreisfreie Stadt,49164
9271,Deggendorf,Landkreis,122121
9272,Freyung-Grafenau,Landkreis,79286
9273,Kelheim,Landkreis,125701
9274,Landshut,Landkreis,164773
9275,Passau,Landkreis,196963
9276,Regen,Landkreis,78035
9277,Rottal-Inn,Landkreis,124436
9278,Straubing-Bogen,Landkreis,103806
9279,Dingolfing-Landau,Landkreis,100306
93,Oberpfalz,Regierungsbezirk,1133741
9361,Amberg,kreisfreie Stadt,42534
9362,Regensburg,kreisfreie Stadt,157443
9363,Weiden i.d.OPf.,kreisfreie Stadt,43052
9371,Amberg-Sulzbach,Landkreis,104436
9372,Cham,Landkreis,130193
9373,Neumarkt i.d.OPf.,Landkreis,138086
9374,Neustadt a.d.Waldnaab,Landkreis,95954
9375,Regensburg,Landkreis,198160
9376,Schwandorf,Landkreis,151711
9377,Tirschenreuth,Landkreis,72172
94,Oberfranken,Regierungsbezirk,1073783
9461,Bamberg,kreisfreie Stadt,79935
9462,Bayreuth,kreisfreie Stadt,74506
9463,Coburg,kreisfreie Stadt,41842
9464,Hof,kreisfreie Stadt,46656
9471,Bamberg,Landkreis,149122
9472,Bayreuth,Landkreis,104702
9473,Coburg,Landkreis,87103
9474,Forchheim,Landkreis,117948
9475,Hof,Landkreis,94589
9476,Kronach,Landkreis,66393
9477,Kulmbach,Landkreis,71653
9478,Lichtenfels,Landkreis,67328
9479,Wunsiedel i.Fichtelgebirge,Landkreis,72006
95,Mittelfranken,Regierungsbezirk,1805791
9561,Ansbach,kreisfreie Stadt,42221
9562,Erlangen,kreisfreie Stadt,116562
9563,Fürth,kreisfreie Stadt,131433
9564,Nürnberg,kreisfreie Stadt,523026
