232,Hessen,Dietzhölztal,Jahnstraße 49-53,35716
233,Schleswig-Holstein,Flensburg,Kanzleistraße 91-93,24943
234,Schleswig-Holstein,Flensburg,Auf dem Campus 1,24943
235,Hessen,Frankfurt am Main,Nibelungenplatz 1,60318
236,Hessen,Frankfurt am Main,Rudolf-Amthauer-Straße,65926
237,Hessen,Frankfurt am Main,Adickesallee 32-34,60322
238,Hessen,Frankfurt am Main,Dürerstraße 10,60596
239,Hessen,Frankfurt am Main,Eschersheimer Landstraße 29-39,60322
240,Hessen,Frankfurt am Main,Offenbacher Landstraße 224,60599
241,Hessen,Frankfurt am Main,Platz der Einheit 2,60327
242,Hessen,Frankfurt am Main,Theodor-W.-Adorno-Platz 1,60323
243,Hessen,Frankfurt am Main,Eschersheimer Landstr. 155-157,60323
244,Brandenburg,Frankfurt (Oder),Große Scharrnstraße 59,15230
245,Sachsen,Freiberg,Akademiestraße 6,9599
246,Baden-Württemberg,Freiburg,Bugginger Straße 38,79114
247,Baden-Württemberg,Freiburg,Mendelssohn-Bartholdy-Platz 1,79102
248,Baden-Württemberg,Freiburg,Karlstraße 63,79104
249,Baden-Württemberg,Freiburg,Kunzenweg 21,79117
250,Baden-Württemberg,Freiburg,Fahnenbergplatz,79085
251,Sachsen-Anhalt,Friedensau,An der Ihle 19,39291
252,Baden-Württemberg,Friedrichshafen,Am Seemoser Horn 20,88045
253,Hessen,Fulda,Leipziger Straße 123,36037
254,Hessen,Fulda,Eduard-Schick-Platz 2,36037
255,Bayern,Fürth,"Merkurstraße 19, Südstadtpark",90763
256,Baden-Württemberg,Furtwangen,Robert-Gerwig-Platz 1,78120
257,Hessen,Geisenheim,Von-Lade-Straße 1,65366
258,Thüringen,Gera,Weg der Freundschaft 4,7546
259,Thüringen,Gera,Neue Straße 28 - 30,7548
260,Hessen,Gießen,Rathenaustraße 5-7,35394
261,Hessen,Gießen,Ludwigstraße 23,35390
262,Niedersachsen,Göttingen,Weender Landstr. 3-7,37073
263,Niedersachsen,Göttingen,Wilhelmsplatz 1,37073
264,Mecklenburg-Vorpommern,Greifswald,Domstraße 11,17489
265,Rheinland-Pfalz,Hachenburg,Schloss,57627
266,Nordrhein-Westfalen,Hagen,Universitätsstraße 47,58097
267,Sachsen-Anhalt,Halle,Kleine Ulrichstraße 35,6108
268,Sachsen-Anhalt,Halle,Neuwerk 7,6108
269,Sachsen-Anhalt,Halle,Universitätsplatz 11,6108
270,Hamburg,Hamburg,Hammer Steindamm 129,20535
271,Hamburg,Hamburg,Carl-Cohn-Straße 39,22297
272,Hamburg,Hamburg,Anckelmannstraße 10,20537
273,Hamburg,Hamburg,Jungiusstraße 6,20355
274,Hamburg,Hamburg,Doberaner Weg 20-22,22143
275,Hamburg,Hamburg,Horner Weg 170,22111
276,Hamburg,Hamburg,Alter Teichweg 19,22081
277,Hamburg,Hamburg,Lilienstraße 5-9,20095
278,Hamburg,Hamburg,Berliner Tor 5,20099
279,Hamburg,Hamburg,Henning-Voscherau-Platz 1,20457
280,Hamburg,Hamburg,Lerchenfeld 2,22081
281,Hamburg,Hamburg,Harvestehuder Weg 12,20148
282,Hamburg,Hamburg,Willy-Brandt-Straße 75,20459
283,Hamburg,Hamburg,Großer Grasbrook 17,20457
284,Hamburg,Hamburg,Am Kaiserkai 1,20457
285,Hamburg,Hamburg,Holstenhofweg 62,22043
286,Hamburg,Hamburg,Am Schwarzenberg-Campus 3 (E),21073
287,Hamburg,Hamburg,Mittelweg 177,20148
