Braunschweig HBK,Hochschule für Bildende Künste Braunschweig,931,1963,https://www.hbk-bs.de
Braunschweig TU,Technische Universität Carolo-Wilhelmina zu Braunschweig,16155,1745,https://www.tu-braunschweig.de
Bremen CU,Constructor University,1483,1999,https://constructor.university/
Bremen FernFH,APOLLON Hochschule der Gesundheitswirtschaft,3365,2005,http://www.apollon-hochschule.de/redirect.php?id=32
Bremen H,Hochschule Bremen,8672,1982,http://www.hs-bremen.de
Bremen HfK,Hochschule für Künste Bremen,1011,1873,http://www.hfk-bremen.de
Bremen U,Universität Bremen,18335,1971,http://www.uni-bremen.de
Bremen VerwH (Verw),Hochschule für Öffentliche Verwaltung Bremen,648,1979,www.hfoev.bremen.de
Bremerhaven H,Hochschule Bremerhaven,2816,1975,http://www.hs-bremerhaven.de
Brühl EUFH,"Europäische Fachhochschule Rhein/Erft, european university of applied sciences",2180,2001,https://www.eufh.de
Brühl HSBund (Verw),Hochschule des Bundes für öffentliche Verwaltung,9195,1979,https://www.hsbund.de/
Buxtehude FH,hochschule 21,1067,2005,https://www.hs21.de
Chemnitz TU,Technische Universität Chemnitz,8380,1836,http://www.tu-chemnitz.de
Clausthal TU,Technische Universität Clausthal,2753,1775,https://www.tu-clausthal.de
Coburg H,Hochschule für angewandte Wissenschaften Coburg,4700,1814,http://www.hs-coburg.de
Cottbus-Senftenberg TU,Brandenburgische Technische Universität Cottbus-Senftenberg,6587,2013,http://www.b-tu.de
Darmstadt EvH,Evangelische Hochschule Darmstadt (staatlich anerkannt) – Kirchliche Körperschaft des öffentlichen Rechts,1333,1971,http://www.eh-darmstadt.de
Darmstadt FernH,Wilhelm Büchner Hochschule - Private Fernhochschule Darmstadt,4915,1997,http://www.wb-fernstudium.de?referrer=hochschulkompass_portal
Darmstadt H,Hochschule Darmstadt,15474,1876,http://www.h-da.de/
Darmstadt TU,Technische Universität Darmstadt,24008,1877,http://www.tu-darmstadt.de
Deggendorf TH,Technische Hochschule Deggendorf,8660,1994,http://www.th-deg.de
Detmold HfM,Hochschule für Musik Detmold,637,1946,http://www.hfm-detmold.de/
