Wedel FH,1406
Weihenstephan-Triesdorf H,1407
Weimar HfM,1408
Weimar U,1409
Weingarten PH,1410
Weserbergland H,1411
Westfälische H,1412
Westküste FH,1413
Wiesbaden CFH,1414
Wiesbaden EBS,1415
Wildau TH,1416
Wilhelmshaven/Oldenburg/Elsfleth H,1417
Wismar H,1418
Witten/ Herdecke U,1419
Worms H,1420
Wuppertal KiH,1421
Wuppertal U,1422
Würzburg HfM,1423
Würzburg-Schweinfurt TH,1424
Würzburg U,1425
Zittau/ Görlitz H,1426
Zwickau H,1427
